Farragut	328 96 417 110
International,	429 95 579 110
LLC	593 96 629 108
888	294 110 328 121
17th	339 110 384 121
Street,	394 110 468 122
N.	481 111 502 121
W.,	514 110 546 122
Suite	561 110 616 121
600	627 110 661 121
Washington,	326 122 449 135
D.	460 122 481 133
C.	494 123 514 133
20006-3959	527 123 639 133
Philip	72 197 139 211
Morris	148 197 217 209
120	73 211 105 221
Park	116 211 161 222
Avenue,	171 210 249 223
14th	262 210 307 221
Floor	318 210 374 221
New	71 224 106 234
York	116 223 161 234
NY	182 223 207 234
10021	217 223 271 233
Re:	71 274 103 284
Consulting	116 272 228 286
Services	239 272 329 284
(7007-1)	833 272 915 285
Date	93 299 138 309
Emp	171 299 206 311
Services	406 298 495 309
Hours	704 298 761 309
Amount	827 298 895 309
06/11/97	73 322 161 334
408	172 324 206 334
Travel	216 323 284 334
DCA	294 323 330 334
to	340 324 362 334
Paris.	373 323 437 334
10.00	728 323 783 334
3150.00	840 323 918 334
06/19/97	72 336 162 349
408	172 336 206 347
Meeting	216 336 296 349
with	306 335 352 347
Air	361 336 396 347
France,	407 335 480 348
W.	493 336 514 347
Bertrand	527 335 617 347
at	627 337 649 347
Air	216 348 251 359
France	262 349 329 360
Headquarters.	339 348 481 362
4.00	738 349 784 360
1260.00	840 348 917 360
06/20/97	71 360 161 373
408	171 361 205 372
Meeting	216 361 295 374
with	305 361 352 372
Ambassador	360 361 473 372
Reissik,	483 361 569 373
French	582 361 650 372
Ambassador	215 373 329 385
to	340 374 363 384
ICAO.	373 373 426 384
4.00	737 374 783 385
1260.00	840 373 917 384
06/25/97	72 385 161 398
408	172 386 205 397
Travel	216 386 283 397
from	295 385 341 397
DCG	350 386 385 397
to	395 386 418 397
IHD.	429 386 469 397
10.00	728 386 783 397
3150.00	840 386 917 397
06/27/97	72 399 162 411
408	172 399 206 410
Teleconference	216 398 374 410
with	383 398 430 409
D.	439 398 458 410
Bushong	473 398 550 412
on	560 400 584 409
WHO	593 398 628 409
matter	216 411 290 422
1.00	739 411 783 422
315.00	850 411 917 422
06/30/97	72 423 161 436
408	172 424 206 435
Teleconference	217 423 374 435
with	383 423 429 435
D.	439 424 458 435
Bushong;	472 423 558 437
Mike	570 423 616 435
Moffet	215 436 283 448
on	294 439 318 448
ICAO	329 437 374 448
related	383 436 463 448
project;	472 436 558 450
discuss	572 436 650 448
WHO	215 450 251 460
issue	262 449 317 460
with	327 449 374 460
Marzena.	382 449 469 460
2.00	739 449 783 460
630.00	851 449 918 460
31.00	727 475 783 485
$9765.00	829 474 917 486
Imp	81 514 105 525
Hours	126 512 182 523
Rate	216 512 262 523
Amount	294 512 361 523
408	71 537 104 548
31.00	150 538 205 548
315	227 537 261 548
9765.00	307 537 384 549
Expenses	383 575 473 589
Amount	827 575 895 586
Travel	71 600 137 611
2659.02	839 600 918 612
Xerox	71 613 128 624
4.80	872 613 917 624
Telephone	71 625 172 639
172.91	850 626 916 637
Postage	72 639 150 652
0.38	873 639 917 650
Telecopy	71 651 161 665
15.00	862 651 917 663
$2852.11	828 676 917 688
$12617.11	817 714 917 726

AGENCY	654 7 715 19
ORIGINAL	718 7 788 20
Metropolitan	252 26 408 53
Sunday	417 28 506 56
Newspapers,	516 30 673 56
Inc.	683 32 729 53
PO. BOX	202 55 266 72
8188	267 60 301 71
CHURCH	305 59 364 71
STREET	368 60 423 73
STATION	428 62 490 73
NEW	504 63 539 75
YORK	543 63 586 74
N.Y.	590 64 624 74
10043	629 65 668 75
.	671 67 680 74
(212) 689-8200	686 65 781 78
JUN	348 119 391 137
06	398 123 431 140
RECD	437 123 480 143
PAGE	864 119 907 129
1	940 120 948 130
LOEWS	72 152 124 162
INC.	137 152 175 163
LORILLARD	197 153 294 164
DIV	303 155 336 164
TRUE	495 157 536 167
CIGARETTES	546 157 652 168
CONTRACT	579 194 645 204
NO.	647 195 669 205
53388D	724 200 789 211
INVOICE	579 208 628 218
NO.	630 209 652 218
00437	725 214 778 224
LORILLARD	132 220 229 231
COMPANY	239 222 314 232
63732	830 215 883 225
0544	408 224 450 234
DATE	579 222 611 231
6-02-88	736 228 809 238
ONE	133 235 165 245
PARK	175 235 219 245
AVENUE	227 235 291 246
17TH	314 237 356 247
FL	365 237 387 247
002	884 229 915 239
TERMS	579 236 621 245
NET:	623 236 652 245
DUE	656 236 683 246
6-20-88	734 242 810 252
NEW	132 248 165 258
YORK	174 248 218 258
NEW	226 249 260 259
YORK	269 250 312 260
10016	323 251 375 261
ATTN	132 262 175 272
EILEEN	206 263 271 274
ANTONIELLO	280 264 386 275
SUNDAY	638 268 703 278
SELECT	712 269 776 279
12	788 270 809 280
4	829 271 840 279
COLOR	850 270 904 280
NEWSPAPERS	111 299 205 310
SIZE	346 301 376 311
RATE	443 303 480 313
MESSAGE	531 304 597 314
DATE	628 305 666 315
GROSS	734 306 783 316
NET	876 308 904 318
BOSTON	16 331 81 341
HERALD	88 331 154 342
040	259 333 291 344
7/10	342 334 386 344
P6	395 335 418 344
F	457 335 469 345
013	479 336 512 346
DETROIT	16 343 90 354
NEWS	99 344 142 354
6/05/88	616 337 691 348
3,256.40	723 338 808 348
220	258 346 290 356
2.767.94	871 340 956 350
7/10	342 347 385 357
PG	394 347 417 357
OPEN	458 348 502 358
6/05/88	616 350 692 360
13,818.87	712 351 807 361
11.746.04	861 352 955 363
TOTAL	67 371 120 382
17,075.27	711 378 807 389
14.513.98	860 380 956 390
CASH	67 399 111 409
DISCOUNT	119 400 204 410
NOT	215 401 247 411
APPLICABLE	256 401 362 413
PLEASE	372 403 436 413
PAY	447 403 478 413
THIS	489 404 532 414
AMOUNT	542 405 603 415
14.513.98	859 408 956 418
PLEASE	710 419 775 430
PAY	784 420 817 430
METRO	827 421 882 431
DIRECTLY	890 421 976 432
OUR	718 470 748 479
NEW	755 471 789 480
ADDRESS	795 471 862 482
IS:	869 473 887 483
P.O.	718 484 744 495
BOX	751 484 781 494
4674	787 485 820 495
GRAND	717 497 766 507
CENTRAL	775 498 840 508
STATION	847 500 906 510
NEW	717 511 750 520
YORK,	756 511 798 522
N.Y.	806 512 832 522
10163	840 512 881 522
NEWSPAPER	400 542 465 554
DN	500 538 533 559
NEWSPAPER	114 562 179 572
BHA	203 557 257 575
II	398 563 408 573
SUE	409 563 437 573
6-	484 560 516 578
5	520 563 538 577
-88	535 560 581 579
-	536 569 547 574
ISSUE	114 582 151 592
6-5-88	196 574 289 596
INS.	400 583 422 593
#	425 583 438 594
INS.	114 602 137 612
#	141 602 152 613
/	225 597 233 614
PMT.	398 603 425 613
#	430 604 440 614
/	512 576 530 620
PMT.	114 622 142 632
#	146 622 157 633
/	220 620 231 636
BRAND	396 624 442 636
TRU	490 621 548 642
BRAND	115 645 158 655
TRU	203 640 261 658
IEV.	397 646 421 656
NO.	424 646 446 655
00437	490 642 564 661
INV.	116 665 139 675
NO.	143 665 165 674
00437	202 658 275 677
NV.	397 665 420 676
DATE	423 666 454 676
6-2-88	488 663 579 682
OK	620 638 689 682
INV.	116 685 140 695
DATE	143 684 173 695
6-2-88	198 678 288 699
A	395 683 402 691
COUNT	408 683 439 692
PAID	404 691 428 700
11746.04	487 682 595 705
AMOUNT	118 702 159 711
PAID	125 711 149 719
2767.94	200 697 305 721
CREDIT	397 708 442 719
CREDIT	117 727 163 738
DATE	394 729 424 739
PAID	427 729 454 739
-20-88	512 725 595 744
6/20/88	625 703 704 740
DATE	117 748 146 758
PAID	149 747 176 757
6-20-88	197 739 309 760
CHECK	395 748 431 759
*	436 749 447 759
008516	484 744 578 763
CHECK	118 768 154 778
#	159 768 171 779
008516	195 758 297 781
lot	350 781 404 807
4,4,	414 770 451 810
513.98	464 782 546 803

INVOICE	763 83 912 104
PETERSEN	196 106 322 120
PUBLISHING	339 105 490 119
COMPANY	507 105 629 119
1310702	220 148 296 160
JAN	327 140 366 159
22	370 145 397 161
REC'D	406 149 440 166
PLEASE	707 139 753 148
REMIT	756 138 794 147
TO:	796 138 817 147
PETERSEN	617 162 706 174
PUBLISHING	717 161 827 172
CO.	839 160 870 172
SOLD	142 176 174 186
TO	178 176 196 185
LORILLARD	219 178 318 189
MEDIA	329 177 384 188
SERVICES	398 177 484 189
P.O.	617 177 659 188
BOX	672 176 705 187
95246	718 175 772 186
ATTN	219 192 265 203
EILEEN	276 191 341 203
ANTONIELLO	352 191 462 203
CHICAGO,	617 190 702 202
IL	719 190 738 201
60694	851 189 905 200
ONE	219 207 252 218
PARK	264 207 307 218
AVE	318 206 351 217
NEW	218 221 253 232
YORK	264 221 307 232
NY	440 220 463 231
10016	474 220 528 231
RETURN	617 239 675 248
DUPLICATE	682 238 763 248
WITH	770 238 807 248
REMITTANCE	814 238 908 247
ACCOUNT	141 262 197 271
.	200 264 208 269
LORILLARD	219 263 318 274
