InvoiceDate,InvoiceId,SalesUNit,Qty,NetWeight,CustomerName,LineAmount1,Freight,City,State,ItemName,ProductCategory
02-06-2018,DD-1819/173,BKT,2,40,Customer 1,14768.4,0,JAMNAGAR,GJ,Item 1,Category 1
02-06-2018,DD-1819/167,BKT,150,3000,Customer 2,660000,0,HALDIA,WB,Item 1,Category 1
02-06-2018,SGE-1819/2172,SET,2,48,Customer 3,51041.28,106.41,RUDRAPUR,UT,Item 2,Category 2
04-06-2018,SGE-1819/2214,SET,7,168,Customer 4,191618.33,426.74,JAIPUR,RJ,Item 3,Category 2
04-06-2018,SGE-1819/2238,BKT,1,20,Customer 5,11905.42,35.38,GURGAON,HR,Item 1,Category 1
05-06-2018,SGE-1819/2268,KIT,2,36,Customer 5,13144.98,63.67,GURGAON,HR,Item 4,Category 2
05-06-2018,SGE-1819/2271,BKT,2,40,Customer 6,20269.44,0,KOLKATA,WB,Item 1,Category 1
06-06-2018,SGE-1819/2285,BKT,61,1220,Customer 7,668823.64,2035.58,GOA,GA,Item 1,Category 1
07-06-2018,SGE-1819/2297,BKT,24,480,Customer 8,247119.36,0,New Delhi,DL,Item 1,Category 1
07-06-2018,SGE-1819/2300,BKT,1,20,Customer 9,6804,22,ANGUL,OR,Item 1,Category 1
08-06-2018,SGE-1819/2316,CAN,504,209.16,Customer 10,97776,401.69,MUMBAI,MH,Item 5,Category 3
08-06-2018,SGE-1819/2324,CAN,504,209.16,Customer 11,97776,356.69,KOLKATTA,WB,Item 5,Category 3
08-06-2018,SGE-1819/2323,CAN,1008,418.32,Customer 12,189504,707.08,NASHIK,MH,Item 5,Category 3
08-06-2018,SGE-1819/2317,CAN,1008,418.32,Customer 13,189504,707.08,VAPI,GJ,Item 5,Category 3
08-06-2018,SGE-1819/2327,CAN,48,19.92,Customer 14,12794.54,37.31,RAJKOT,GJ,Item 5,Category 3
08-06-2018,SGE-1819/2325,CAN,1008,418.32,Customer 15,189504,707.08,JAMSHEDPUR,JH,Item 5,Category 3
08-06-2018,SGE-1819/2309,KIT,1,18,Customer 7,5977.6,50,GOA,GA,Item 4,Category 2
09-06-2018,SGE-1819/2341,CAN,432,179.28,Customer 16,83808,325.16,BHOPAL,MP,Item 5,Category 3
09-06-2018,SGE-1819/2340,CAN,252,104.58,Customer 17,63972.72,206.53,SONEBHANDRA,UP,Item 5,Category 3
09-06-2018,SGE-1819/2339,CAN,2016,836.64,Customer 4,379008,1504.17,JAIPUR,RJ,Item 5,Category 3
09-06-2018,SGE-1819/2338,CAN,504,209.16,Customer 4,94752,373.54,JAIPUR,RJ,Item 5,Category 3
09-06-2018,SGE-1819/2334,KIT,8,144,Customer 18,37884,74.4,BHIWADI,RJ,Item 4,Category 2
11-06-2018,SGE-1819/2373,CAN,504,209.16,Customer 19,97776,361.69,JALANDHAR CITY,PB,Item 5,Category 3
11-06-2018,SGE-1819/2361,CAN,504,209.16,Customer 20,97776,366.69,AHMEDABAD,GJ,Item 5,Category 3
11-06-2018,SGE-1819/2387,CAN,500,207.5,Customer 13,94000,357.76,VAPI,GJ,Item 5,Category 3
11-06-2018,SGE-1819/2372,CAN,1008,418.32,Customer 21,189504,712.08,BHARUCH,GJ,Item 5,Category 3
11-06-2018,SGE-1819/2386,CAN,504,209.16,Customer 22,97776,361.69,VADODARA,GJ,Item 5,Category 3
11-06-2018,SGE-1819/2405,CAN,24,9.96,Customer 23,6287.04,11.21,KAKINADA,AP,Item 5,Category 3
12-06-2018,SGE-1819/2441,CAN,1008,418.32,Customer 24,189504,717.08,BHARUCH,GJ,Item 5,Category 3
13-06-2018,DD-1819/190,CAN,200,83,Customer 25,31362,0,JAMNAGAR,GJ,Item 5,Category 3
13-06-2018,DD-1819/189,CAN,100,41.5,Customer 26,15682,0,JAMNAGAR,GJ,Item 5,Category 3
13-06-2018,SGE-1819/2455,CAN,12,4.98,Customer 27,3046.32,6,AURANGABAD,MH,Item 5,Category 3
14-06-2018,SGE-1819/2497,CAN,72,29.88,Customer 28,18887.18,59.64,BALLABHGARH,HR,Item 5,Category 3
15-06-2018,SGE-1819/2531,CAN,48,19.92,Customer 29,12574.08,39.93,VIJAYWADA,AP,Item 5,Category 3
16-06-2018,DD-1819/195,CAN,24,9.96,Customer 30,3763.44,0,AHMEDABAD,GJ,Item 5,Category 3
16-06-2018,DD-1819/195,CAN,90,37.35,Customer 30,14112.9,0,AHMEDABAD,GJ,Item 5,Category 3
16-06-2018,DD-1819/195,CAN,1,0.42,Customer 30,156.81,0,AHMEDABAD,GJ,Item 5,Category 3
16-06-2018,DD-1819/195,CAN,50,20.75,Customer 30,7840.5,0,AHMEDABAD,GJ,Item 5,Category 3
16-06-2018,SGE-1819/2564,CAN,12,4.98,Customer 31,3046.32,6.02,BALLARPUR,MH,Item 5,Category 3
16-06-2018,SGE-1819/2580,CAN,60,24.9,Customer 32,15231.6,49.84,CHANDIGARH,CH,Item 5,Category 3
18-06-2018,SGE-1819/2670,CAN,504,209.16,Customer 16,97776,361.69,BHOPAL,MP,Item 5,Category 3
18-06-2018,SGE-1819/2671,CAN,2016,836.64,Customer 4,379008,1444.17,JAIPUR,RJ,Item 5,Category 3
18-06-2018,SGE-1819/2664,SET,9,216,Customer 33,209301.15,445.97,BHILWARA,RJ,Item 2,Category 2
18-06-2018,SGE-1819/2659,SET,6,144,Customer 34,139964.76,337.63,24-PARGANAS (NORTH),WB,Item 2,Category 2
18-06-2018,SGE-1819/2667,SET,6,144,Customer 6,116928,290.07,KOLKATA,WB,Item 3,Category 2
18-06-2018,SGE-1819/2677,CAN,12,4.98,Customer 35,3489.31,7,PUNE,MH,Item 5,Category 3
19-06-2018,DD-1819/199,BKT,40,800,Customer 36,444000,0,LUCKNOW,UP,Item 1,Category 1
19-06-2018,SGE-1819/2693,CAN,504,209.16,Customer 37,97776,371.69,HARIDWAR,UT,Item 5,Category 3
19-06-2018,SGE-1819/2737,BKT,5,100,Customer 4,52062.4,169.14,JAIPUR,RJ,Item 1,Category 1
19-06-2018,SGE-1819/2708,CAN,384,159.36,Customer 38,74496,272.48,GHAZIABAD,UP,Item 5,Category 3
19-06-2018,SGE-1819/2711,CAN,30,12.45,Customer 39,7425.41,18,MEERUT,UP,Item 5,Category 3
19-06-2018,SGE-1819/2720,CAN,9,3.74,Customer 40,2475.14,6,HYDERABAD,TS,Item 5,Category 3
19-06-2018,SGE-1819/2726,CAN,4,1.66,Customer 41,1127.14,2,JAMNAGAR,GJ,Item 5,Category 3
19-06-2018,SGE-1819/2734,CAN,1008,418.32,Customer 42,189504,752.08,RAIGAD,MH,Item 5,Category 3
19-06-2018,SGE-1819/2729,BKT,25,500,Customer 43,238966.2,899.45,BANGLORE,KA,Item 1,Category 1
19-06-2018,SGE-1819/2727,CAN,18,7.47,Customer 44,4872.46,0,VISAKHAPATNAM,AP,Item 5,Category 3
19-06-2018,SGE-1819/2724,BKT,20,400,Customer 45,180400,637.62,JAMSHEDPUR,JH,Item 1,Category 1
19-06-2018,SGE-1819/2723,SET,4,96,Customer 45,80640,207.3,JAMSHEDPUR,JH,Item 2,Category 2
20-06-2018,DD-1819/202,CAN,30,12.45,Customer 46,4704.3,0,BHARUCH,GJ,Item 5,Category 3
20-06-2018,DD-1819/202,CAN,49,20.34,Customer 46,7683.69,0,BHARUCH,GJ,Item 5,Category 3
20-06-2018,DD-1819/202,CAN,115,47.73,Customer 46,18033.15,0,BHARUCH,GJ,Item 5,Category 3
20-06-2018,SGE-1819/2785,BKT,1,20,Customer 47,12214.78,34.8,KUTCH,GJ,Item 1,Category 1
20-06-2018,SGE-1819/2766,CAN,50,20.75,Customer 48,12693,43.2,SONEBHANDRA,UP,Item 5,Category 3
