Date,sum_QTY,sum_Freight,sum_LineAmount,no_unique_customers,no_orders,InvoiceCat_DD-SGE,InvoiceCat_SGE,WeekDay_Friday,WeekDay_Monday,WeekDay_Saturday,WeekDay_Thursday,WeekDay_Tuesday,WeekDay_Wednesday,State_AP,State_AS,State_BH,State_CH,State_CT,State_DL,State_DN,State_GA,State_GJ,State_HR,State_JH,State_JK,State_KA,State_KL,State_MH,State_MP,State_OR,State_PB,State_RJ,State_TN,State_TS,State_UP,State_UT,State_WB,mean_sum_QTY,SMA30,CMA30,EMA30,EMA7
2018-04-07,84.0,61.58,17014.32,2,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,42.0,84.0,,84.0,84.0
2018-04-09,10.0,0.0,2932.1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10.0,47.0,,45.76666666666667,41.714285714285715
2018-04-10,382.0,0.0,58157.7,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191.0,158.66666666666666,,165.39651980747874,188.86486486486487
2018-04-12,12.0,6.24,2855.36,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12.0,122.0,,123.1301886792453,124.18285714285715
2018-05-07,42.0,15.0,10662.12,2,2,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0,106.0,,104.67110651118344,97.24455825864277
2018-05-09,19.0,10.92,5524.74,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19.0,91.5,,87.91090405246189,73.44817344817345
2018-05-10,167.0,112.21000000000001,33474.38,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,41.75,102.28571428571429,,101.5898784420684,100.43896597872791
2018-05-11,616.0,445.52,127167.91,3,3,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,205.33333333333334,166.5,,181.85633473690203,243.6683340398474
2018-06-07,36.0,21.0,9333.36,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18.0,152.0,,161.00574870186904,187.5366182602563
2018-06-09,24.0,11.54,5710.73,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,24.0,139.2,,142.84486099691702,144.21274406863077
2018-06-10,444.0,0.0,116310.24,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444.0,166.9090909090909,,180.22158494754646,222.46453300182193
2018-06-11,24.0,0.0,6978.61,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.0,155.0,,161.92322917997456,171.2253286777639
2018-06-12,120.0,107.69,31435.2,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,120.0,152.30769230769232,,157.2581787261258,158.10734920664407
2018-06-13,312.0,6.0,50090.32,3,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,104.0,163.71428571428572,,173.70804020058338,197.27846073380678
2018-06-14,72.0,59.64,18887.18,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.0,157.6,,163.3296492442189,165.5346382158226
2018-06-15,48.0,39.93,12574.08,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.0,150.75,,151.98692974649492,135.85349657760247
2018-06-16,237.0,55.86,44151.57,3,6,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,39.5,155.8235294117647,,160.07436820291895,161.3316402844732
