Date,InvoiceId,Qty,Freight,LineAmount1,InvoiceCat,CustomerName,State,City,Year,Month,Day,Y-M,WeekDay
2018-02-11,DD-1819/540,232.0,0.0,36379.92,DD-1819,Customer 101,MH,RAIGAD,2018,02,11,2018-02,Sunday
2018-04-07,SGE-1819/3402,12.0,7.05,3046.32,SGE-1819,Customer 32,CH,CHANDIGARH,2018,04,07,2018-04,Saturday
2018-04-07,SGE-1819/3401,72.0,54.53,13968.0,SGE-1819,Customer 64,TS,SECUNDRABAD,2018,04,07,2018-04,Saturday
2018-04-09,SGE-1819/5496,10.0,0.0,2932.1,SGE-1819,Customer 112,MP,KATNI,2018,04,09,2018-04,Monday
2018-04-10,DD-1819/487,250.0,0.0,39202.5,DD-1819,Customer 130,DN,SILVASSA,2018,04,10,2018-04,Tuesday
2018-04-10,SGE-1819/6500,132.0,0.0,18955.2,SGE-1819,Customer 110,HR,GURGAON,2018,04,10,2018-04,Tuesday
2018-04-12,SGE-1819/8478,12.0,6.24,2855.36,SGE-1819,Customer 53,PB,LUDHIANA,2018,04,12,2018-04,Thursday
2018-05-07,SGE-1819/3431,12.0,0.0,3046.32,SGE-1819,Customer 32,CH,CHANDIGARH,2018,05,07,2018-05,Monday
2018-05-07,SGE-1819/3423,30.0,15.0,7615.8,SGE-1819,Customer 49,CT,BILASPUR,2018,05,07,2018-05,Monday
2018-05-09,SGE-1819/5541,19.0,10.92,5524.74,SGE-1819,Customer 35,MH,PUNE,2018,05,09,2018-05,Wednesday
2018-05-10,SGE-1819/6553,96.0,63.92,15310.51,SGE-1819,Customer 57,GJ,AHMEDABAD,2018,05,10,2018-05,Thursday
2018-05-10,SGE-1819/6537,1.0,0.0,145.39,SGE-1819,Customer 4,RJ,JAIPUR,2018,05,10,2018-05,Thursday
2018-05-10,SGE-1819/6555,48.0,37.29,12783.65,SGE-1819,Customer 131,WB,MURSHEDABAD,2018,05,10,2018-05,Thursday
2018-05-10,SGE-1819/6556,22.0,11.0,5234.83,SGE-1819,Customer 53,PB,LUDHIANA,2018,05,10,2018-05,Thursday
2018-05-11,SGE-1819/7706,100.0,55.0,26196.0,SGE-1819,Customer 141,CT,RAIPUR,2018,05,11,2018-05,Friday
2018-05-11,SGE-1819/7678,12.0,10.83,3195.91,SGE-1819,Customer 27,MH,AURANGABAD,2018,05,11,2018-05,Friday
2018-05-11,SGE-1819/7701,504.0,379.69,97776.0,SGE-1819,Customer 19,PB,JALANDHAR CITY,2018,05,11,2018-05,Friday
2018-06-07,SGE-1819/3461,24.0,14.0,6287.04,SGE-1819,Customer 66,GJ,JAMNAGAR,2018,06,07,2018-06,Thursday
2018-06-07,SGE-1819/3463,12.0,7.0,3046.32,SGE-1819,Customer 55,TS,GODAVARIKHANI,2018,06,07,2018-06,Thursday
2018-06-09,SGE-1819/5591,24.0,11.54,5710.73,SGE-1819,Customer 53,PB,LUDHIANA,2018,06,09,2018-06,Saturday
2018-06-10,SGE-1819/6574,444.0,0.0,116310.24,SGE-1819,Customer 44,AP,VISAKHAPATNAM,2018,06,10,2018-06,Sunday
2018-06-11,SGE-1819/7715,24.0,0.0,6978.61,SGE-1819,Customer 142,CT,KORBA,2018,06,11,2018-06,Monday
2018-06-12,SGE-1819/8571,120.0,107.69,31435.2,SGE-1819,Customer 99,PB,LUDHIANA,2018,06,12,2018-06,Tuesday
2018-06-13,SGE-1819/2455,12.0,6.0,3046.32,SGE-1819,Customer 27,MH,AURANGABAD,2018,06,13,2018-06,Wednesday
2018-06-13,DD-1819/190,200.0,0.0,31362.0,DD-1819,Customer 25,GJ,JAMNAGAR,2018,06,13,2018-06,Wednesday
2018-06-13,DD-1819/189,100.0,0.0,15682.0,DD-1819,Customer 26,GJ,JAMNAGAR,2018,06,13,2018-06,Wednesday
2018-06-14,SGE-1819/2497,72.0,59.64,18887.18,SGE-1819,Customer 28,HR,BALLABHGARH,2018,06,14,2018-06,Thursday
2018-06-15,SGE-1819/2531,48.0,39.93,12574.08,SGE-1819,Customer 29,AP,VIJAYWADA,2018,06,15,2018-06,Friday
2018-06-16,DD-1819/195,24.0,0.0,3763.44,DD-1819,Customer 30,GJ,AHMEDABAD,2018,06,16,2018-06,Saturday
2018-06-16,DD-1819/195,90.0,0.0,14112.9,DD-1819,Customer 30,GJ,AHMEDABAD,2018,06,16,2018-06,Saturday
2018-06-16,DD-1819/195,1.0,0.0,156.81,DD-1819,Customer 30,GJ,AHMEDABAD,2018,06,16,2018-06,Saturday
2018-06-16,DD-1819/195,50.0,0.0,7840.5,DD-1819,Customer 30,GJ,AHMEDABAD,2018,06,16,2018-06,Saturday
2018-06-16,SGE-1819/2564,12.0,6.02,3046.32,SGE-1819,Customer 31,MH,BALLARPUR,2018,06,16,2018-06,Saturday
2018-06-16,SGE-1819/2580,60.0,49.84,15231.6,SGE-1819,Customer 32,CH,CHANDIGARH,2018,06,16,2018-06,Saturday
2018-06-18,SGE-1819/2670,504.0,361.69,97776.0,SGE-1819,Customer 16,MP,BHOPAL,2018,06,18,2018-06,Monday
2018-06-18,SGE-1819/2671,2016.0,1444.17,379008.0,SGE-1819,Customer 4,RJ,JAIPUR,2018,06,18,2018-06,Monday
